AREA_L_CD,AREA_NAME,Number of Collisions,Percentage of Collisions
01,Etobicoke North,53,5.486542443064183
02,Etobicoke Centre,38,3.9337474120082816
03,Etobicoke-Lakeshore,55,5.693581780538302
04,Parkdale-High Park,48,4.968944099378882
05,York South-Weston,30,3.1055900621118013
06,York Centre,51,5.279503105590062
07,Humber River-Black Creek,43,4.451345755693581
08,Eglinton-Lawrence,36,3.7267080745341614
09,Davenport,30,3.1055900621118013
10,Spadina-Fort York,43,4.451345755693581
11,University-Rosedale,37,3.8302277432712217
12,Toronto-St. Paul's,29,3.002070393374741
13,Toronto Centre,33,3.4161490683229814
14,Toronto-Danforth,35,3.6231884057971016
15,Don Valley West,20,2.070393374741201
16,Don Valley East,29,3.002070393374741
17,Don Valley North,27,2.7950310559006213
18,Willowdale,30,3.1055900621118013
19,Beaches-East York,18,1.8633540372670807
20,Scarborough Southwest,62,6.418219461697723
21,Scarborough Centre,67,6.935817805383023
22,Scarborough-Agincourt,50,5.175983436853002
23,Scarborough North,35,3.6231884057971016
24,Scarborough-Guildwood,31,3.2091097308488616
25,Scarborough-Rouge Park,36,3.7267080745341614
